subject.id	tumor.only	tumor.name	tumor.bam	reference.name	reference.bam
IWK016	FALSE	IWK016_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK016_R.bam	IWK016_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK016_T.bam
IWK017	FALSE	IWK017_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK017_R.bam	IWK017_T,IWK031_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK017_T.bam,/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK031_T.bam
IWK018	FALSE	IWK018_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK018_R.bam	IWK018_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK018_T.bam
IWK019	FALSE	IWK019_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK019_R.bam	IWK019_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK019_T.bam
IWK020	FALSE	IWK020_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK020_R.bam	IWK020_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK020_T.bam
IWK021	FALSE	IWK021_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK021_R.bam	IWK021_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK021_T.bam
IWK022	FALSE	IWK022_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK022_R.bam	IWK022_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK022_T.bam
IWK023	FALSE	IWK023_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK023_R.bam	IWK023_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK023_T.bam
IWK024	FALSE	IWK024_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK024_R.bam	IWK024_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK024_T.bam
IWK025	FALSE	IWK025_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK025_R.bam	IWK025_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK025_T.bam
IWK026	FALSE	IWK026_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK026_R.bam	IWK026_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK026_T.bam
IWK028	FALSE	IWK028_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK028_R.bam	IWK028_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK028_T.bam
IWK029	FALSE	IWK029_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK029_R.bam	IWK029_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK029_T.bam
IWK030	FALSE	IWK030_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK030_R.bam	IWK030_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK030_T.bam
IWK033	FALSE	IWK033_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK033_R.bam	IWK033_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK033_T.bam
IWK034	FALSE	IWK034_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK034_R.bam	IWK034_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK034_T.bam
IWK036	FALSE	IWK036_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK036_R.bam	IWK036_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK036_T.bam
IWK037	FALSE	IWK037_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK037_R.bam	IWK037_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK037_T.bam
IWK039	FALSE	IWK039_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK039_R.bam	IWK039_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK039_T.bam
IWK040	FALSE	IWK040_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK040_R.bam	IWK040_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK040_T.bam
IWK041	FALSE	IWK041_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK041_R.bam	IWK041_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK041_T.bam
IWK042	FALSE	IWK042_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK042_R.bam	IWK042_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK042_T.bam
IWK047	FALSE	IWK047_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK047_R.bam	IWK047_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK047_T.bam
IWK048	FALSE	IWK048_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK048_R.bam	IWK048_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK048_T.bam
IWK049	FALSE	IWK049_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK049_R.bam	IWK049_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK049_T.bam
