GeneId,GeneName
ENSG00000202054,RNA5SP152
ENSG00000252307,RNA5SP153
ENSG00000252002,RNA5SP154
ENSG00000223086,RNA5SP155
ENSG00000222182,RNA5SP156
ENSG00000251816,RNA5SP157
ENSG00000222230,RNA5SP158
ENSG00000252970,RNA5SP159
ENSG00000201736,RNA5SP160
ENSG00000200741,RNA5SP161
ENSG00000274759,RNA5SP527
ENSG00000222236,RNA5SP163
ENSG00000252342,RNA5SP164
ENSG00000252951,RNA5SP165
ENSG00000201846,RNA5SP166
ENSG00000202331,RNA5SP167
ENSG00000252451,RNA5SP168
ENSG00000253077,RNA5SP169
ENSG00000252959,RNA5SP170
ENSG00000212373,RNA5SP171
ENSG00000201931,RNA5SP172
ENSG00000201727,RNA5SP173
ENSG00000199572,RNA5SP174
ENSG00000201145,RNA5SP175
ENSG00000212258,RNA5SP176
ENSG00000222054,RNA5SP177
ENSG00000222312,RNA5SP178
ENSG00000253093,RNA5SP179
ENSG00000251990,RNA5SP180
ENSG00000222178,RNA5SP181
ENSG00000251873,RNA5SP182
ENSG00000199322,RNA5SP183
ENSG00000223003,RNA5SP184
ENSG00000212265,RNA5SP185
ENSG00000252833,RNA5SP186
ENSG00000207129,RNA5SP187
ENSG00000199786,RNA5SP188
ENSG00000201790,RNA5SP189
ENSG00000202092,RNA5SP190
ENSG00000199455,RNA5SP191
ENSG00000201274,RNA5SP192
ENSG00000222285,RNA5SP193
ENSG00000201532,RNA5SP194
ENSG00000199545,RNA5SP195
ENSG00000280646,RNA5SP196
ENSG00000200227,RNA5SP197
ENSG00000222308,RNA5SP198
ENSG00000200275,RNA5SP199
ENSG00000252169,RNA5SP200
ENSG00000222248,RNA5SP201
ENSG00000201185,RNA5SP202
ENSG00000222383,RNA5SP203
ENSG00000201415,RNA5SP204
ENSG00000201523,RNA5SP205
ENSG00000252512,RNA5SP206
ENSG00000212176,RNA5SP207
ENSG00000251965,RNA5SP208
ENSG00000223169,RNA5SP209
ENSG00000212336,RNA5SP210
ENSG00000202386,RNA5SP211
ENSG00000212525,RNA5SP212
ENSG00000212333,RNA5SP213
ENSG00000200248,RNA5SP214
ENSG00000200310,RNA5SP215
ENSG00000251920,RNA5SP216
ENSG00000251768,RNA5SP217
ENSG00000200058,RNA5SP218
ENSG00000212242,RNA5SP219
ENSG00000252107,RNA5SP220
ENSG00000223203,RNA5SP221
ENSG00000222971,RNA5SP222
ENSG00000202044,RNA5SP223
ENSG00000201939,RNA5SP224
ENSG00000222806,RNA5SP225
ENSG00000199523,RNA5SP226
ENSG00000251993,RNA5SP227
ENSG00000252041,RNA5SP228
ENSG00000222741,RNA5SP229
ENSG00000252848,RNA5SP230
ENSG00000222428,RNA5SP231
ENSG00000201014,RNA5SP232
ENSG00000238391,RNA5SP233
ENSG00000200786,RNA5SP234
ENSG00000202281,RNA5SP235
ENSG00000251978,RNA5SP236
ENSG00000222346,RNA5SP237
ENSG00000202334,RNA5SP238
ENSG00000222150,RNA5SP239
ENSG00000202225,RNA5SP240
ENSG00000212628,RNA5SP241
ENSG00000201041,RNA5SP242
ENSG00000252866,RNA5SP243
ENSG00000212238,RNA5SP244
ENSG00000201109,RNA5SP245
ENSG00000239021,RNA5SP246
ENSG00000223113,RNA5SP247
ENSG00000202472,RNA5SP248
ENSG00000251936,RNA5SP249
ENSG00000222546,RNA5SP251
ENSG00000212433,RNA5SP252
ENSG00000252029,RNA5SP253
ENSG00000252535,RNA5SP254
ENSG00000252179,RNA5SP255
ENSG00000212280,RNA5SP256
ENSG00000274467,RNA5SP257
ENSG00000199620,RNA5SP258
ENSG00000202411,RNA5SP259
ENSG00000200719,RNA5SP260
ENSG00000222468,RNA5SP261
ENSG00000252261,RNA5SP262
ENSG00000200246,RNA5SP263
ENSG00000199985,RNA5SP264
ENSG00000277418,RNA5SP531
ENSG00000222955,RNA5SP265
ENSG00000222205,RNA5SP266
ENSG00000201763,RNA5SP267
ENSG00000252637,RNA5SP268
ENSG00000239184,RNA5SP269
ENSG00000223293,RNA5SP270
ENSG00000252509,RNA5SP271
ENSG00000251904,RNA5SP272
ENSG00000199354,RNA5SP273
ENSG00000222416,RNA5SP274
ENSG00000200806,RNA5SP275
ENSG00000199450,RNA5SP276
ENSG00000202356,RNA5SP277
ENSG00000252864,RNA5SP278
ENSG00000223274,RNA5SP498
ENSG00000200852,RNA5SP499
ENSG00000201356,RNA5SP500
ENSG00000222922,RNA5SP501
ENSG00000199564,RNA5SP502
ENSG00000252856,RNA5SP503
ENSG00000222608,RNA5SP504
ENSG00000201618,RNA5SP505
ENSG00000200473,RNA5SP507
ENSG00000223259,RNA5SP508
ENSG00000201447,RNA5SP509
ENSG00000201567,RNA5SP510
ENSG00000222419,RNA5SP511
ENSG00000201420,RNA5SP512
ENSG00000201518,RNA5SP513
ENSG00000200587,RNA5SP514
ENSG00000201440,RNA5SP515
ENSG00000201000,RNA5SP516
ENSG00000201594,RNA5SP517
ENSG00000201285,RNA5SP524
ENSG00000212595,RNA5SP525
ENSG00000202383,RNA5SP279
ENSG00000223162,RNA5SP280
ENSG00000252313,RNA5SP281
ENSG00000252164,RNA5SP282
ENSG00000277049,RNA5SP530
ENSG00000202474,RNA5SP283
ENSG00000207277,RNA5SP284
ENSG00000252428,RNA5SP285
ENSG00000212454,RNA5SP286
ENSG00000252167,RNA5SP287
ENSG00000251884,RNA5SP288
ENSG00000199202,RNA5SP289
ENSG00000252942,RNA5SP290
ENSG00000253031,RNA5SP291
ENSG00000212276,RNA5SP292
ENSG00000222459,RNA5SP293
ENSG00000223238,RNA5SP294
ENSG00000199525,RNA5SP295
ENSG00000222455,RNA5SP296
ENSG00000251766,RNA5SP518
ENSG00000252289,RNA5SP519
ENSG00000251705,RNA5-8SP6
ENSG00000252315,RNA5SP520
ENSG00000252012,RNA5SP521
